data_type,compression_type,disk_size,load_time
linarg,npz,214.971065,18.346656560897827
mtx,npz,176.762487,3.2069835662841797
linarg,Blosc,202.490264,1.311919927597046
mtx,Blosc,190.51902,1.1491713523864746
mtx_no_data,Blosc,186.986698,1.009664535522461
linarg,Blosc2,209.979516,0.8372440338134766
mtx,Blosc2,197.546607,0.8439662456512451
mtx_no_data,Blosc2,194.124405,1.0528616905212402
linarg,BZip2,157.73543,11.65113353729248
mtx,BZip2,147.834823,10.98977017402649
mtx_no_data,BZip2,146.950323,20.88583278656006
linarg,gzip,160.145705,2.3097522258758545
mtx,gzip,149.906556,2.251474618911743
mtx_no_data,gzip,148.188529,2.884997606277466
linarg,lzf,184.390324,2.535804271697998
mtx,lzf,173.302018,2.4772837162017822
mtx_no_data,lzf,169.213038,2.897259473800659
linarg,,720.94676,0.6391205787658691
mtx,,686.052536,0.717787504196167
mtx_no_data,,462.20204,0.9161100387573242
